"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"flour, semolina, coarse";"flour, semolina, coarse";174.666666666667;0;0.236666666666667;0;0;0;0.072;0
"flour, semolina, coarse and semi";"flour, semolina, coarse and semi";167.7;0;0.2467;0;0;0;0.08283;0
"flour, semolina, fine";"flour, semolina, fine";163.6125;0;0.34;0;0;0;0.10819375;0
"flour, semolina, semi";"flour, semolina, semi";160.666666666667;0;0.256666666666667;0;0;0;0.0936666666666667;0
"flour, soy";"flour, soy";0;2.86;0.2982;0;0.616;1.744;0.618;0.133796698523023
"flour, soy, defatted";"flour, soy, defatted";0;2.86;0.298;0;0.616;1.74;0.618;0.133913043478261
"flour, soy, full";"flour, soy, full";0;2.15;0.363;0;0.45;1.4;0.34;0.126760563380282
"flour, soy, full fat";"flour, soy, full fat";0;2.1675;0.341375;0;0.4525;1.41125;0.35225;0.126482746225737
"flour, spelt, whole grain";"flour, spelt, whole grain";38.419375;0;0.1431125;0;0;0;0.2355;0
"flour, wheat, all";"flour, wheat, all";114;0;0.303333333333333;0;0;0;0.0766666666666667;0
"flour, whole grain oat";"flour, whole grain oat";34.6875;0;0.16125;0;0;0;0.1475625;0
"flour, whole wheat";"flour, whole wheat";38.625;0;0;0;0;0;0.26425;0
"flour, whole wheat, unenriched";"flour, whole wheat, unenriched";39;0;0.127857142857143;0;0;0;0.268;0
"folate, cheddar cheese, sliced, cracker barrel";"folate, cheddar cheese, sliced, cracker barrel";18;0;0;0;0;0;0;0
"folate, cheddar cheese, sliced, sargento sharp ";"folate, cheddar cheese, sliced, sargento sharp ";30;0;0;0;0;0;0;0
"folate, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese";"folate, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese";24;0;0;0;0;0;0;0
"folate, cheddar cheese, sliced, tillamook";"folate, cheddar cheese, sliced, tillamook";14;0;0;0;0;0;0;0
"folate, cheese, swiss, slices";"folate, cheese, swiss, slices";9.5;0;0;0;0;0;0;0
"folate, cottage cheese, ";"folate, cottage cheese, ";10;0;0;0;0;0;0;0
"folate, mozzarella cheese, low";"folate, mozzarella cheese, low";26.25;0;0;0;0;0;0;0
"folate, mustard, yellow, frenchs classic";"folate, mustard, yellow, frenchs classic";7.5;0;0;0;0;0;0;0
"folate, onion rings, frozen, alexia";"folate, onion rings, frozen, alexia";27;0;0;0;0;0;0;0
"folate, onion rings, frozen, ore";"folate, onion rings, frozen, ore";32.6666666666667;0;0;0;0;0;0;0
"folate, onion rings, frozen, store brand/other";"folate, onion rings, frozen, store brand/other";35;0;0;0;0;0;0;0
"folate, parmesan cheese, grated, kraft ";"folate, parmesan cheese, grated, kraft ";6;0;0;0;0;0;0;0
"folate, peanut butter, creamy, jif";"folate, peanut butter, creamy, jif";89.6666666666667;0;0;0;0;0;0;0
"folate, peanut butter, creamy, skippy";"folate, peanut butter, creamy, skippy";89;0;0;0;0;0;0;0
"folate, peanut butter, creamy, store brand/other brand, great value";"folate, peanut butter, creamy, store brand/other brand, great value";78;0;0;0;0;0;0;0
"folate, peanut butter, creamy, store brand/other brand, kroger";"folate, peanut butter, creamy, store brand/other brand, kroger";84;0;0;0;0;0;0;0
"folate, peanut butter, creamy, store brand/other brand, safeway kitchens & shop rite";"folate, peanut butter, creamy, store brand/other brand, safeway kitchens & shop rite";78;0;0;0;0;0;0;0
"folate, pickles, kosher dill, spears, vlasic";"folate, pickles, kosher dill, spears, vlasic";8;0;0;0;0;0;0;0
"folate, whole wheat bread, natures own";"folate, whole wheat bread, natures own";50.3333333333333;0;0;0;0;0;0;0
"folate, whole wheat bread, store brand/other";"folate, whole wheat bread, store brand/other";37.3333333333333;0;0;0;0;0;0;0
"folate, whole wheat bread, stroehmann dutch county";"folate, whole wheat bread, stroehmann dutch county";27;0;0;0;0;0;0;0
"folate, yogurt, greek, strawberry, non";"folate, yogurt, greek, strawberry, non";20;0;0;0;0;0;0;0
"folates, lettuce, romaine, fresh";"folates, lettuce, romaine, fresh";54.6666666666667;0;0;0;0;0;0;0
"frankfurter, beef, unheated";"frankfurter, beef, unheated";0;0;0.154;1.26;0;0;0.13;0
"grape juice, purple, from concentrate with added vitamin c, shelf stable";"grape juice, purple, from concentrate with added vitamin c, shelf stable";0.664375;0;0;0;0;0;0.0386875;0
"grape juice, purple, with added vitamin c, from concentrate, shelf stable";"grape juice, purple, with added vitamin c, from concentrate, shelf stable";0.6644;0;0;14.036;0;0;0.03869;0
"grape juice, white, from concentrate with added vitamin c, shelf stable";"grape juice, white, from concentrate with added vitamin c, shelf stable";1.73125;0;0;0;0;0;0.014125;0
"grape juice, white, with added vitamin c, from concentrate, shelf stable";"grape juice, white, with added vitamin c, from concentrate, shelf stable";1.731;0;0;14.446;0;0;0.01413;0
