"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"cheese, ricotta, whole milk, store/other";"cheese, ricotta, whole milk, store/other";0;4.60122699386503;24.2307692307692;0;49.618320610687;148.936170212766;7.23076923076923;89.6551724137931
"cheese, swiss";"cheese, swiss";2.25;0;23.3076923076923;0;0;0;5.38461538461539;0
"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised";"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised";0;0;14.3846153846154;0;0;0;70.8461538461539;0
"chicken, broilers or fryers, drumstick, meat only, cooked, braised";"chicken, broilers or fryers, drumstick, meat only, cooked, braised";0;0;13.8461538461538;0;0;0;28.6153846153846;0
"chorizo pork sausage, johnsonville, cooked";"chorizo pork sausage, johnsonville, cooked";0;0;26.9230769230769;0;0;0;0;0
"chorizo pork sausage, mixed brand, cooked";"chorizo pork sausage, mixed brand, cooked";2.5;0;35;0;0;0;42.6153846153846;0
"cookies, oatmeal, soft, with raisins";"cookies, oatmeal, soft, with raisins";8.5;0;16.7692307692308;139.2;0;0;5.38461538461539;0
"cranberry juice, not fortified, from concentrate, shelf stable";"cranberry juice, not fortified, from concentrate, shelf stable";2.242;0;0;13.652;0;0;0.711538461538461;0
"cranberry juice, shelf stable, from concentrate, not fortified";"cranberry juice, shelf stable, from concentrate, not fortified";2.241875;0;0;0;0;0;0.711538461538461;0
"eggs, grade a, large, egg white";"eggs, grade a, large, egg white";0;11.1349693251534;30.0769230769231;0;71.7557251908397;247.872340425532;0;63.0872483221477
"eggs, grade a, large, egg whole";"eggs, grade a, large, egg whole";17.75;10.1226993865031;32.2307692307692;0.8;63.3587786259542;272.340425531915;4.84615384615385;56.6552901023891
"eggs, grade a, large, egg yolk";"eggs, grade a, large, egg yolk";0;10.3220858895706;35.9230769230769;0;66.412213740458;363.829787234043;0;51.2896094325718
"eggs, whites";"eggs, whites";0;11.1281526925699;33.5769230769231;0;71.6709075487701;247.931442080378;0;63.030303030303
"eggs, whites ";"eggs, whites ";0;0;28.3317307692308;0;0;0;0;0
"eggs, whole";"eggs, whole";17.7604166666667;10.1226993865031;31.5625;0;63.5383924562191;272.215269086358;4.87179487179487;56.8273092369478
"eggs, whole ";"eggs, whole ";0;0;33.6634615384615;0;0;0;0;0
"eggs, yolk";"eggs, yolk";0;10.3186775732788;38.4945054945055;0;66.3698049194232;364.066193853428;0;51.2484650020467
"eggs, yolk ";"eggs, yolk ";0;0;34.8823529411765;0;0;0;0;0
"figs, dried, pass ";"figs, dried, pass ";0.846153846153846;0.0943841434638981;1.59763313609467;0;0.763358778625954;1.75941080196399;1.97633136094675;6.50406504065041
"figs, dried, uncooked";"figs, dried, uncooked";2.25;1.05828220858896;6.30769230769231;191.6;7.25190839694656;19.6808510638298;8.15384615384615;71.6981132075472
"fish, haddock, raw";"fish, haddock, raw";0;0;4.38461538461539;0;0;0;21.6153846153846;0
"fish, pollock, raw";"fish, pollock, raw";0;7.82208588957055;6.15384615384615;0;68.7022900763359;260.63829787234;5.30769230769231;72
"fish, tuna, light, canned in water, drained solids";"fish, tuna, light, canned in water, drained solids";0;0;6.30769230769231;0;0;0;24.6153846153846;0
"flaxseed, ground";"flaxseed, ground";10.3625;17.1165644171779;0;0;115;304.521276595745;30.2;71.3769618004146
"flour, ";"flour, ";3.3653125;0;7.01923076923077;0;0;0;4.24057692307692;0
"flour, all";"flour, all";0;0;17.4903846153846;0;0;0;0;0
"flour, all purpose";"flour, all purpose";22.6854166666667;0;0;0;0;0;5.84935897435897;0
"flour, almond";"flour, almond";9.4575;0;57.5;0;0;0;7.68307692307692;0
"flour, almond, blanched";"flour, almond, blanched";9.45625;0;57.5;0;0;0;7.68269230769231;0
"flour, bread, white";"flour, bread, white";37.8;0;0;0;0;0;5.89230769230769;0
"flour, bread, white, enriched";"flour, bread, white, enriched";0;0;33.525641025641;0;0;0;0;0
"flour, bread, white, enriched, unbleached";"flour, bread, white, enriched, unbleached";36.25;0;33.5384615384615;0;0;0;6.07692307692308;0
"flour, corn, enriched";"flour, corn, enriched";0;0;27.2153846153846;0;0;0;0;0
"flour, corn, yellow";"flour, corn, yellow";38.7;0;0;0;0;0;9.98461538461538;0
"flour, corn, yellow, fine meal, enriched";"flour, corn, yellow, fine meal, enriched";38.75;0;27.2307692307692;4.16;0;0;10;0
"flour, oat, whole grain";"flour, oat, whole grain";8.6725;0;12.4076923076923;0;0;0;11.3538461538462;0
"flour, pastry, unenriched, unbleached";"flour, pastry, unenriched, unbleached";0;0;0;0;0;0;5;0
"flour, pastry, white";"flour, pastry, white";0;0;0;0;0;0;5;0
"flour, potato";"flour, potato";10.2875;0;8.84615384615385;0;0;0;44.7692307692308;0
"flour, rice, brown";"flour, rice, brown";0;0;0.58974358974359;0;0;0;10.1282051282051;0
"flour, rice, glutenous";"flour, rice, glutenous";0;0;0;0;0;0;3.34615384615385;0
"flour, rice, glutinous";"flour, rice, glutinous";0;0;0;0;0;0;3.38461538461538;0
"flour, rice, white";"flour, rice, white";3.5;0;0;0;0;0;4.2;0
"flour, rice, white, unenriched";"flour, rice, white, unenriched";2;0;0;0;0;0;2;0
"flour, rice, white(unenriched)";"flour, rice, white(unenriched)";0;0;0;0;0;0;0;0
"flour, semolina, coarse";"flour, semolina, coarse";43.6666666666667;0;18.2051282051282;0;0;0;5.53846153846154;0
"flour, semolina, coarse and semi";"flour, semolina, coarse and semi";41.925;0;18.9769230769231;0;0;0;6.37153846153846;0
"flour, semolina, fine";"flour, semolina, fine";40.903125;0;26.1538461538461;0;0;0;8.32259615384615;0
"flour, semolina, semi";"flour, semolina, semi";40.1666666666667;0;19.7435897435897;0;0;0;7.20512820512821;0
"flour, soy";"flour, soy";0;43.8650306748466;22.9384615384615;0;235.114503816794;927.659574468085;47.5384615384615;53.5186794092094
"flour, soy, defatted";"flour, soy, defatted";0;43.8650306748466;22.9230769230769;0;235.114503816794;925.531914893617;47.5384615384615;53.5652173913044
"flour, soy, full";"flour, soy, full";0;32.9754601226994;27.9230769230769;0;171.75572519084;744.68085106383;26.1538461538462;50.7042253521127
