"food";"Folate, total";"Iron, Fe";"MUFA 12:1";"MUFA 14:1 c";"MUFA 15:1";"MUFA 16:1 c";"MUFA 17:1";"MUFA 17:1 c";"MUFA 18:1";"MUFA 18:1 c";"MUFA 20:1";"MUFA 20:1 c";"MUFA 22:1";"MUFA 22:1 c";"MUFA 22:1 n-11";"MUFA 22:1 n-9";"MUFA 24:1 c";"Phenylalanine";"PUFA 18:2";"PUFA 18:2 c";"PUFA 18:2 CLAs";"PUFA 18:2 n-6 c,c";"PUFA 18:3";"PUFA 18:3 c";"PUFA 18:3 n-3 c,c,c (ALA)";"PUFA 18:3 n-6 c,c,c";"PUFA 18:3i";"PUFA 18:4";"PUFA 20:2 c";"PUFA 20:2 n-6 c,c";"PUFA 20:3";"PUFA 20:3 c";"PUFA 20:3 n-3";"PUFA 20:3 n-9";"PUFA 20:4";"PUFA 20:4 n-6";"PUFA 20:4c";"PUFA 20:5 n-3 (EPA)";"PUFA 20:5c";"PUFA 22:2";"PUFA 22:3";"PUFA 22:4";"PUFA 22:5 c";"PUFA 22:5 n-3 (DPA)";"PUFA 22:6 c";"PUFA 22:6 n-3 (DHA)";"Riboflavin";"SFA 14:0";"SFA 15:0";"SFA 16:0";"SFA 17:0";"SFA 18:0";"SFA 20:0";"SFA 21:0";"SFA 22:0";"SFA 23:0";"SFA 24:0";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"Vitamin D3 (cholecalciferol)";"holyRatio"
"oat milk, unsweetened, plain, refrigerated";"oat milk, unsweetened, plain, refrigerated";0;4.00613496932515;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.0725;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.2807;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;2.3216;0.00875;0.04125;0.0065;0.007692;0.0769230769230769
"oatmeal cookies with raisins, pepperidge farm soft baked";"oatmeal cookies with raisins, pepperidge farm soft baked";14;40.6441717791411;-Inf;0;0;11.1702127659574;0.461538461538462;-Inf;-Inf;2.67;-Inf;0.062;-Inf;-Inf;-Inf;0.006;0;-Inf;-Inf;-Inf;0.007;5.36;-Inf;-Inf;0.739;0.033;-Inf;0;-Inf;0.005;-Inf;-Inf;0;0;0.009;0;-Inf;0.006;-Inf;0;-Inf;0;-Inf;0;-Inf;0.003;0.24;0.021;0.005;1.71;0.018;3.46;0.047;-Inf;0.042;-Inf;0.015;-Inf;-Inf;-Inf;0.08;-Inf;0
"oatmeal cookies with raisins, store/other brand";"oatmeal cookies with raisins, store/other brand";8;41.2576687116564;-Inf;0;0;11.7021276595745;0.461538461538462;-Inf;-Inf;7.06;-Inf;0.113;-Inf;-Inf;-Inf;0.006;0.011;-Inf;-Inf;-Inf;0.006;4.53;-Inf;-Inf;0.779;0.026;-Inf;0;-Inf;0.005;-Inf;-Inf;0;0;0.006;0;-Inf;0.005;-Inf;0;-Inf;0;-Inf;0;-Inf;0;0.25;0.142;0.007;4.91;0.014;2.4;0.052;-Inf;0.037;-Inf;0.019;-Inf;-Inf;-Inf;0.07;-Inf;0
"oil, canola";"oil, canola";-Inf;-Inf;-Inf;-Inf;-Inf;109.042553191489;-Inf;-Inf;-Inf;60.3;-Inf;1.89;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;17.8;-Inf;17.8;-Inf;7.45;7.45;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0;-Inf;-Inf;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.047;0.018;3.86;0.041;1.66;0.537;0.011;0.27;-Inf;0.15;-Inf;-Inf;-Inf;-Inf;-Inf;0
"oil, coconut";"oil, coconut";-Inf;0.766871165644172;-Inf;0;0;8.51063829787234;0;0;-Inf;6.25;0.041;0.041;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;1.68;0;1.68;-Inf;0.02;0.02;0;0;0;0;0;-Inf;0;0;0;0;0;0;0;0;0;-Inf;0;0;0;0;0;-Inf;16.7;0.015;8.64;0.009;2.52;0.076;-Inf;0.019;-Inf;0.031;-Inf;-Inf;-Inf;-Inf;-Inf;0
"oil, corn";"oil, corn";-Inf;-Inf;-Inf;-Inf;-Inf;48.4042553191489;-Inf;-Inf;-Inf;27.2;-Inf;0.365;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;51.9;-Inf;51.9;-Inf;1.04;1.04;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0;-Inf;-Inf;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.034;0.008;11.1;0.061;1.58;0.349;0.004;0.112;-Inf;0.154;-Inf;-Inf;-Inf;-Inf;-Inf;0
"oil, olive, extra light";"oil, olive, extra light";-Inf;-Inf;0;0;0;809.042553191489;11.5346153846154;-Inf;-Inf;67.425;-Inf;0.32895;-Inf;-Inf;0;0.0045625;0;-Inf;-Inf;-Inf;0.034425;12.001;-Inf;-Inf;0.62585;0.00028125;-Inf;0;-Inf;0.003125;-Inf;-Inf;0;0;0.13475;0;-Inf;0.0018125;-Inf;0.0006875;0.0054065;0.000625;-Inf;0;-Inf;0;-Inf;0.01625;0.007875;13.784;0.0795;2.8805;0.40885;0.02247;0.12615;0;0.068345;-Inf;-Inf;-Inf;-Inf;-Inf;0
"oil, olive, extra virgin";"oil, olive, extra virgin";-Inf;-Inf;-Inf;-Inf;-Inf;547.872340425532;-Inf;-Inf;-Inf;67.8;-Inf;0.276;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;8.4;-Inf;8.4;-Inf;0.651;0.651;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0;-Inf;-Inf;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.013;0.006;12.1;0.081;2.59;0.411;0.014;0.118;-Inf;0.062;-Inf;-Inf;-Inf;-Inf;-Inf;0
"oil, peanut";"oil, peanut";-Inf;-Inf;0;0;0;45.188829787234;4.50615384615385;-Inf;-Inf;57.707;-Inf;1.531;-Inf;-Inf;0.0039565;0.14805;0.01798;-Inf;-Inf;-Inf;0.026395;20.893;-Inf;-Inf;0.36325;0;-Inf;0;-Inf;0.019795;-Inf;-Inf;0.002169;0;0.0112065;0;-Inf;0.0045625;-Inf;0.0020815;0.016875;0.00235625;-Inf;0;-Inf;0;-Inf;0.058205;0.01075;8.7575;0.07658;2.6995;1.2435;0.025605;2.82;0;1.5575;-Inf;-Inf;-Inf;-Inf;-Inf;0
"oil, safflower";"oil, safflower";-Inf;-Inf;0;0;0;66.0239361702128;3.37038461538462;-Inf;-Inf;71.8595;-Inf;0.34905;-Inf;-Inf;0;0.020155;0.18955;-Inf;-Inf;-Inf;0.02978;14.582;-Inf;-Inf;0.4099;0;-Inf;0;-Inf;0.0048125;-Inf;-Inf;0.00071875;0;0.0011875;0;-Inf;0.002375;-Inf;0.0079375;0.014344;0;-Inf;0;-Inf;0;-Inf;0.08328;0.017125;4.8635;0.02972;2.061;0.41195;0.012875;0.37045;0;0.2071;-Inf;-Inf;-Inf;-Inf;-Inf;0
"oil, soybean";"oil, soybean";-Inf;-Inf;-Inf;-Inf;-Inf;42.5531914893617;-Inf;-Inf;-Inf;21.4;-Inf;0.6;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;50.9;-Inf;50.9;-Inf;6.62;6.62;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0;-Inf;-Inf;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.075;0.014;10.3;0.086;3.71;0.294;0.025;0.306;-Inf;0.124;-Inf;-Inf;-Inf;-Inf;-Inf;0
"oil, sunflower";"oil, sunflower";-Inf;-Inf;0;0;0;103.218085106383;3.42807692307692;-Inf;-Inf;71.7435;-Inf;0.3154;-Inf;-Inf;0;0.0075;0.01628;-Inf;-Inf;-Inf;0.04502;41.2365;-Inf;-Inf;0.4334;0.0005625;-Inf;0.0005625;-Inf;0.0089375;-Inf;-Inf;0.0005625;0;0.0036875;0;-Inf;0.0091875;-Inf;0.0013125;0.009594;0.0028125;-Inf;0;-Inf;0;-Inf;0.06197;0.028095;5.2975;0.031315;3.281;0.31425;0.01744;0.9492;0;0.34795;-Inf;-Inf;-Inf;-Inf;-Inf;0
"olive oil, extra virgin";"olive oil, extra virgin";-Inf;-Inf;-Inf;-Inf;-Inf;1042.55319148936;-Inf;-Inf;-Inf;73.2;-Inf;0.333;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;14.8;-Inf;-Inf;0.72;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.021;0.012;15.8;0.148;3.16;0.472;0.02;0.147;-Inf;0.075;-Inf;-Inf;-Inf;-Inf;-Inf;0
"olives green stuffed with pimentos";"olives green stuffed with pimentos";0;6.44171779141104;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"olives, green, manzanilla, stuffed with pimiento";"olives, green, manzanilla, stuffed with pimiento";0;4.75460122699387;-Inf;0;0;80.3191489361702;2.53846153846154;13.2;-Inf;8.64;-Inf;0.031;-Inf;0;-Inf;0;0;-Inf;-Inf;0.557;0;0.557;-Inf;0.104;0.104;0;-Inf;0;0;0;-Inf;0;0;0;0;0;0;0;0;0;-Inf;0;0;0;0;0;0;0.003;0.001;1.87;0.018;0.323;0.053;-Inf;0.015;-Inf;0.01;0;-Inf;-Inf;0;-Inf;0
"olives, green, stuffed with pimentos ";"olives, green, stuffed with pimentos ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"onion rings, breaded, par fried, frozen, prepared, heated in oven";"onion rings, breaded, par fried, frozen, prepared, heated in oven";7.75;17.4846625766871;-Inf;0;0;6.38297872340426;0.538461538461538;2.8;-Inf;2.81;0.041;0.041;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;6.66;0.004;6.66;-Inf;0.906;0.859;0.047;0;0;0.003;0.003;-Inf;0;0;0;0.005;0;0.005;0;0;0;-Inf;0;0;0;0;0;0.116;0.011;0.004;1.45;0.014;0.559;0.036;-Inf;0.04;-Inf;0.015;4.5;-Inf;-Inf;0.127;-Inf;0
"onions, red";"onions, red";-Inf;4.4478527607362;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"onions, red, raw";"onions, red, raw";-Inf;3.68098159509202;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;5.76;-Inf;-Inf;-Inf;-Inf;0
"onions, white";"onions, white";-Inf;2.60736196319018;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"onions, white, raw";"onions, white, raw";-Inf;2.30061349693252;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;5.76;-Inf;-Inf;-Inf;-Inf;0
"onions, yellow";"onions, yellow";-Inf;10.7361963190184;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"onions, yellow, raw";"onions, yellow, raw";-Inf;4.29447852760736;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;5.82;-Inf;-Inf;-Inf;-Inf;0
"orange juice, no pulp, not fortified, from concentrate, refrigerated";"orange juice, no pulp, not fortified, from concentrate, refrigerated";7.4625;0.990490797546012;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;8.276;-Inf;-Inf;0.04288;-Inf;0
"orange juice, no pulp, not fortified, not from concentrate, refrigerated";"orange juice, no pulp, not fortified, not from concentrate, refrigerated";7.245;1.0829754601227;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;8.077;-Inf;-Inf;0.04113;-Inf;0
"orange juice, refrigerated, no pulp, not fortified";"orange juice, refrigerated, no pulp, not fortified";9.3225;1.28067484662577;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.048;-Inf;0
"orange juice, refrigerated, no pulp, not fortified, from concentrate";"orange juice, refrigerated, no pulp, not fortified, from concentrate";8.495;1.74846625766871;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.051;-Inf;0
"oranges, navel, pass ";"oranges, navel, pass ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.00452488687782805
"oranges, navel, raw, region ";"oranges, navel, raw, region ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.0273662551440329
"oranges, raw, navels";"oranges, raw, navels";6.25;5.06134969325153;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.051;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.051;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;8.57;0.008;0.011;0.079;-Inf;0.129032258064516
"peaches, raw, pass ";"peaches, raw, pass ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.0327566320645905
"peaches, raw, region ";"peaches, raw, region ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"peaches, yellow, raw";"peaches, yellow, raw";1.5;5.21472392638037;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.018;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.031;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;8.39;0.009;0.014;0.025;-Inf;0.28125
"peanut butter, creamy";"peanut butter, creamy";26.67375;30.5444785276074;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;33.147;-Inf;1.0698;-Inf;-Inf;-Inf;0.152;-Inf;1.5855;-Inf;-Inf;-Inf;14.5365;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;4.5825;-Inf;1.6205;0.8213;-Inf;1.5035;-Inf;0.89565;-Inf;0.2344;1.132;0.42275;-Inf;0.0864122365534432
"peanut butter, smooth style, with salt";"peanut butter, smooth style, with salt";21.5;26.5337423312883;-Inf;0;0;15.9574468085106;2.23076923076923;11.6;-Inf;24.7;0.578;0.578;-Inf;0.044;-Inf;-Inf;0;-Inf;-Inf;12.2;0.011;12.2;-Inf;0.028;0.027;0.001;0;0;0.008;0.008;-Inf;0.01;0.01;0;0.018;0;0.018;0;0;0;-Inf;0;0;0;0;0;0.191;0.021;0.006;4.75;0.047;2.16;0.712;-Inf;1.67;-Inf;0.729;10.5;-Inf;-Inf;0.444;-Inf;0
"pears, bartlett, pass ";"pears, bartlett, pass ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"pears, bartlett, regions ";"pears, bartlett, regions ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.0271493212669683
"pears, bosc, regions ";"pears, bosc, regions ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.0365079365079365
"pears, green anjou, regions ";"pears, green anjou, regions ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.0309523809523809
"pears, raw, bartlett";"pears, raw, bartlett";1.5;2.60736196319018;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.013;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.026;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;9.69;0.002;0.002;0.026;-Inf;0.133333333333333
